Time,Air mass [mg/stk],Air mass (expected) [mg/stk],Charged air temp. [°C],Boost (bank 1) [hPa],Boost (expected) [hPa],Atmospheric pressure [hPa],Intake air temp. [°C],RPM [rpm],Coolant temp. [°C],Fuel pressure [bar],Fuel pressure (expected) [bar],Injection quantity [mg/stk],Injection quantity (expected) [mg/stk],Turbocharger actuator control [%],EGR actuator control [%],Fuel temp. [°C],Acceleration pedal - position [%],Main injection 1 duration [µs],Pre-injection 1 duration [µs],Internal torque [Nm]
"20:42:27,58","612,08","409,88","13,95","1121,89","1318,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,79","776,86","268,87","151,07"
"20:42:27,68","612,08","409,88","13,95","1121,89","1318,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","776,86","268,87","151,07"
"20:42:27,78","612,08","409,88","13,95","1121,89","1318,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","151,07"
"20:42:27,88","612,08","409,88","13,95","1121,89","1318,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:27,98","641,67","387,81","14,16","1121,89","1318,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,08","641,67","387,81","14,16","1164,89","1334,9","957,89","9,96","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,18","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1639,9","85,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,28","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","487,89","483,77","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,39","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,77","15,5","82,92",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,49","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,19","15,79","81,26",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,59","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,19","15,79","81,26",5,"23,15","20,34","748,93","262,92","146,61"
"20:42:28,69","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,19","15,79","81,26",5,"23,15","20,15","748,93","262,92","146,61"
"20:42:28,80","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,19","15,79","81,26",5,"23,15","20,15","723,91","247,97","146,61"
"20:42:28,90","641,67","387,81","14,16","1164,89","1334,9","957,89","10,95","1761,9","84,95","505,38","503,88","15,19","15,79","81,26",5,"23,15","20,15","723,91","247,97","145,81"
